2026-01-31 23:53:33,488 | api                  | INFO     | Successfully fetched fundamentals for 00700
INFO:     127.0.0.1:61000 - "GET /fundamentals/00700 HTTP/1.1" 200 OK
2026-01-31 23:53:33,490 | api                  | INFO     | Fetching fundamentals for 920000
2026-01-31 23:53:35,279 | api                  | INFO     | Financial data keys: dict_keys(['main_indicators'])
2026-01-31 23:53:35,279 | api                  | INFO     | Main indicators type: <class 'list'>
2026-01-31 23:53:35,279 | api                  | INFO     | Main indicators sample keys: ['选项', '指标', '20250930', '20250630', '20250331', '20241231', '20240930', '20240630', '20240331', '20231231']
2026-01-31 23:53:35,279 | api                  | INFO     | Latest date column: 20250930
2026-01-31 23:53:35,279 | api                  | INFO     | Available indicators: ['归母净利润', '营业总收入', '营业成本', '净利润', '扣非净利润', '股东权益合计(净资产)', '商誉', '经营现金流量净额', '基本每股收益', '每股净资产', '每股现金流', '净资产收益率(ROE)', '总资产报酬率(ROA)', '毛利率', '销售净利率', '期间费用率', '资产负债率', '基本每股收益', '稀释每股收益', '摊薄每股收益_最新股数']
2026-01-31 23:53:35,279 | api                  | INFO     | ✅ 归母净利润 = 54975667.13
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 营业总收入 = 322321866.91
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 净利润 = 55570636.48
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 基本每股收益 = 0.6
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 每股净资产 = 7.084584
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 净资产收益率(ROE) = 8.73
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 总资产报酬率(ROA) = 8.300996
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 毛利率 = 27.59302
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 销售净利率 = 17.240728
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 资产负债率 = 18.630111
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 基本每股收益 = 0.6
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 净资产收益率(ROE) = 8.73
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 毛利率 = 27.59302
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 销售净利率 = 17.240728
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 归母净利润 = 54975667.13
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 营业总收入 = 322321866.91
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 净利润 = 55570636.48
2026-01-31 23:53:35,280 | api                  | INFO     | ✅ 资产负债率 = 18.630111
